leto,drzava,starostna skupina,spol,prodajalec,odstotek
2011,Belgija,16-24,ženske,domači,82
2011,Belgija,16-24,ženske,iz EU,42
2011,Belgija,16-24,ženske,iz drugih držav,5
2012,Belgija,16-24,ženske,domači,65
2012,Belgija,16-24,ženske,iz EU,52
2012,Belgija,16-24,ženske,iz drugih držav,13
2013,Belgija,16-24,ženske,domači,77
2013,Belgija,16-24,ženske,iz EU,54
2013,Belgija,16-24,ženske,iz drugih držav,12
2014,Belgija,16-24,ženske,domači,70
2014,Belgija,16-24,ženske,iz EU,61
2014,Belgija,16-24,ženske,iz drugih držav,20
2015,Belgija,16-24,ženske,domači,69
2015,Belgija,16-24,ženske,iz EU,55
2015,Belgija,16-24,ženske,iz drugih držav,14
2016,Belgija,16-24,ženske,domači,76
2016,Belgija,16-24,ženske,iz EU,58
2016,Belgija,16-24,ženske,iz drugih držav,23
2017,Belgija,16-24,ženske,domači,70
2017,Belgija,16-24,ženske,iz EU,61
2017,Belgija,16-24,ženske,iz drugih držav,33
2018,Belgija,16-24,ženske,domači,71
2018,Belgija,16-24,ženske,iz EU,63
2018,Belgija,16-24,ženske,iz drugih držav,30
2019,Belgija,16-24,ženske,domači,75
2019,Belgija,16-24,ženske,iz EU,66
2019,Belgija,16-24,ženske,iz drugih držav,24
2010,Belgija,25-54,moški,domači,80
2010,Belgija,25-54,moški,iz EU,57
2010,Belgija,25-54,moški,iz drugih držav,15
2011,Belgija,25-54,moški,domači,76
2011,Belgija,25-54,moški,iz EU,63
2011,Belgija,25-54,moški,iz drugih držav,16
2012,Belgija,25-54,moški,domači,78
2012,Belgija,25-54,moški,iz EU,62
2012,Belgija,25-54,moški,iz drugih držav,19
2013,Belgija,25-54,moški,domači,81
2013,Belgija,25-54,moški,iz EU,63
2013,Belgija,25-54,moški,iz drugih držav,16
2014,Belgija,25-54,moški,domači,79
2014,Belgija,25-54,moški,iz EU,67
2014,Belgija,25-54,moški,iz drugih držav,19
2015,Belgija,25-54,moški,domači,78
2015,Belgija,25-54,moški,iz EU,68
2015,Belgija,25-54,moški,iz drugih držav,20
2016,Belgija,25-54,moški,domači,78
2016,Belgija,25-54,moški,iz EU,71
2016,Belgija,25-54,moški,iz drugih držav,22
2017,Belgija,25-54,moški,domači,81
2017,Belgija,25-54,moški,iz EU,65
2017,Belgija,25-54,moški,iz drugih držav,25
2018,Belgija,25-54,moški,domači,78
2018,Belgija,25-54,moški,iz EU,68
2018,Belgija,25-54,moški,iz drugih držav,21
2019,Belgija,25-54,moški,domači,77
2019,Belgija,25-54,moški,iz EU,71
2019,Belgija,25-54,moški,iz drugih držav,24
2010,Belgija,25-54,ženske,domači,84
2010,Belgija,25-54,ženske,iz EU,44
2010,Belgija,25-54,ženske,iz drugih držav,7
2011,Belgija,25-54,ženske,domači,82
2011,Belgija,25-54,ženske,iz EU,48
2011,Belgija,25-54,ženske,iz drugih držav,8
2012,Belgija,25-54,ženske,domači,81
2012,Belgija,25-54,ženske,iz EU,53
2012,Belgija,25-54,ženske,iz drugih držav,7
2013,Belgija,25-54,ženske,domači,83
2013,Belgija,25-54,ženske,iz EU,53
2013,Belgija,25-54,ženske,iz drugih držav,8
2014,Belgija,25-54,ženske,domači,84
2014,Belgija,25-54,ženske,iz EU,61
2014,Belgija,25-54,ženske,iz drugih držav,11
2015,Belgija,25-54,ženske,domači,81
2015,Belgija,25-54,ženske,iz EU,60
2015,Belgija,25-54,ženske,iz drugih držav,10
2016,Belgija,25-54,ženske,domači,84
2016,Belgija,25-54,ženske,iz EU,64
2016,Belgija,25-54,ženske,iz drugih držav,15
2017,Belgija,25-54,ženske,domači,81
2017,Belgija,25-54,ženske,iz EU,63
2017,Belgija,25-54,ženske,iz drugih držav,17
2018,Belgija,25-54,ženske,domači,78
2018,Belgija,25-54,ženske,iz EU,65
2018,Belgija,25-54,ženske,iz drugih držav,19
2019,Belgija,25-54,ženske,domači,80
2019,Belgija,25-54,ženske,iz EU,66
2019,Belgija,25-54,ženske,iz drugih držav,16
2010,Belgija,55-74,moški,domači,80
2010,Belgija,55-74,moški,iz EU,61
2010,Belgija,55-74,moški,iz drugih držav,14
2011,Belgija,55-74,moški,domači,71
2011,Belgija,55-74,moški,iz EU,61
2011,Belgija,55-74,moški,iz drugih držav,8
2012,Belgija,55-74,moški,domači,75
2012,Belgija,55-74,moški,iz EU,59
2012,Belgija,55-74,moški,iz drugih držav,12
2013,Belgija,55-74,moški,domači,76
2013,Belgija,55-74,moški,iz EU,63
2013,Belgija,55-74,moški,iz drugih držav,10
2014,Belgija,55-74,moški,domači,84
2014,Belgija,55-74,moški,iz EU,62
2014,Belgija,55-74,moški,iz drugih držav,10
2015,Belgija,55-74,moški,domači,75
2015,Belgija,55-74,moški,iz EU,65
2015,Belgija,55-74,moški,iz drugih držav,13
2016,Belgija,55-74,moški,domači,76
2016,Belgija,55-74,moški,iz EU,66
2016,Belgija,55-74,moški,iz drugih držav,12
2017,Belgija,55-74,moški,domači,80
2017,Belgija,55-74,moški,iz EU,70
2017,Belgija,55-74,moški,iz drugih držav,15
2018,Belgija,55-74,moški,domači,76
2018,Belgija,55-74,moški,iz EU,64
2018,Belgija,55-74,moški,iz drugih držav,13
2019,Belgija,55-74,moški,domači,73
2019,Belgija,55-74,moški,iz EU,65
2019,Belgija,55-74,moški,iz drugih držav,14
2010,Belgija,55-74,ženske,domači,77
2010,Belgija,55-74,ženske,iz EU,42
2010,Belgija,55-74,ženske,iz drugih držav,5
2011,Belgija,55-74,ženske,domači,78
2011,Belgija,55-74,ženske,iz EU,51
2011,Belgija,55-74,ženske,iz drugih držav,7
2012,Belgija,55-74,ženske,domači,77
2012,Belgija,55-74,ženske,iz EU,46
2012,Belgija,55-74,ženske,iz drugih držav,7
2013,Belgija,55-74,ženske,domači,81
2013,Belgija,55-74,ženske,iz EU,53
2013,Belgija,55-74,ženske,iz drugih držav,4
2014,Belgija,55-74,ženske,domači,79
2014,Belgija,55-74,ženske,iz EU,55
2014,Belgija,55-74,ženske,iz drugih držav,5
2015,Belgija,55-74,ženske,domači,74
2015,Belgija,55-74,ženske,iz EU,56
2015,Belgija,55-74,ženske,iz drugih držav,9
2016,Belgija,55-74,ženske,domači,81
2016,Belgija,55-74,ženske,iz EU,57
2016,Belgija,55-74,ženske,iz drugih držav,9
2017,Belgija,55-74,ženske,domači,80
2017,Belgija,55-74,ženske,iz EU,58
2017,Belgija,55-74,ženske,iz drugih držav,7
2018,Belgija,55-74,ženske,domači,82
2018,Belgija,55-74,ženske,iz EU,53
2018,Belgija,55-74,ženske,iz drugih držav,7
2019,Belgija,55-74,ženske,domači,76
2019,Belgija,55-74,ženske,iz EU,51
2019,Belgija,55-74,ženske,iz drugih držav,6
2010,Bolgarija,skupaj,skupaj,domači,77
