leto,drzava,starostna skupina,spol,zadnji e-nakup,odstotek
2010,Francija,55-74,skupaj,med 3. in 7. meseci,8
2010,Francija,16-24,moški,med 3. in 7. meseci,21
2010,Francija,16-24,ženske,med 3. in 7. meseci,20
2010,Francija,25-54,moški,med 3. in 7. meseci,14
2010,Francija,25-54,ženske,med 3. in 7. meseci,16
2010,Francija,55-74,moški,med 3. in 7. meseci,8
2010,Francija,55-74,ženske,med 3. in 7. meseci,8
2010,Hrvaška,skupaj,skupaj,med 3. in 7. meseci,5
2010,Hrvaška,16-24,skupaj,med 3. in 7. meseci,8
2010,Hrvaška,25-54,skupaj,med 3. in 7. meseci,6
2010,Hrvaška,55-74,skupaj,med 3. in 7. meseci,1
2010,Hrvaška,16-24,moški,med 3. in 7. meseci,7
2010,Hrvaška,16-24,ženske,med 3. in 7. meseci,10
2010,Hrvaška,25-54,moški,med 3. in 7. meseci,7
2010,Hrvaška,25-54,ženske,med 3. in 7. meseci,5
2010,Hrvaška,55-74,moški,med 3. in 7. meseci,2
2010,Hrvaška,55-74,ženske,med 3. in 7. meseci,0
2010,Italija,skupaj,skupaj,med 3. in 7. meseci,5
2010,Italija,16-24,skupaj,med 3. in 7. meseci,8
2010,Italija,25-54,skupaj,med 3. in 7. meseci,7
2010,Italija,55-74,skupaj,med 3. in 7. meseci,2
2010,Italija,16-24,moški,med 3. in 7. meseci,9
2010,Italija,16-24,ženske,med 3. in 7. meseci,6
2010,Italija,25-54,moški,med 3. in 7. meseci,8
2010,Italija,25-54,ženske,med 3. in 7. meseci,5
2010,Italija,55-74,moški,med 3. in 7. meseci,3
2010,Italija,55-74,ženske,med 3. in 7. meseci,1
2010,Ciper,skupaj,skupaj,med 3. in 7. meseci,4
2010,Ciper,16-24,skupaj,med 3. in 7. meseci,6
2010,Ciper,25-54,skupaj,med 3. in 7. meseci,4
2010,Ciper,55-74,skupaj,med 3. in 7. meseci,2
2010,Ciper,16-24,moški,med 3. in 7. meseci,7
2010,Ciper,16-24,ženske,med 3. in 7. meseci,5
2010,Ciper,25-54,moški,med 3. in 7. meseci,5
2010,Ciper,25-54,ženske,med 3. in 7. meseci,3
2010,Ciper,55-74,moški,med 3. in 7. meseci,2
2010,Ciper,55-74,ženske,med 3. in 7. meseci,1
2010,Latvija,skupaj,skupaj,med 3. in 7. meseci,9
2010,Latvija,16-24,skupaj,med 3. in 7. meseci,12
2010,Latvija,25-54,skupaj,med 3. in 7. meseci,11
2010,Latvija,55-74,skupaj,med 3. in 7. meseci,2
2010,Latvija,16-24,moški,med 3. in 7. meseci,13
2010,Latvija,16-24,ženske,med 3. in 7. meseci,11
2010,Latvija,25-54,moški,med 3. in 7. meseci,10
2010,Latvija,25-54,ženske,med 3. in 7. meseci,11
2010,Latvija,55-74,moški,med 3. in 7. meseci,2
2010,Latvija,55-74,ženske,med 3. in 7. meseci,2
2010,Litva,skupaj,skupaj,med 3. in 7. meseci,4
2010,Litva,16-24,skupaj,med 3. in 7. meseci,7
2010,Litva,25-54,skupaj,med 3. in 7. meseci,5
2010,Litva,55-74,skupaj,med 3. in 7. meseci,1
2010,Litva,16-24,moški,med 3. in 7. meseci,5
2010,Litva,16-24,ženske,med 3. in 7. meseci,8
2010,Litva,25-54,moški,med 3. in 7. meseci,5
2010,Litva,25-54,ženske,med 3. in 7. meseci,5
2010,Litva,55-74,moški,med 3. in 7. meseci,1
